Abortion is a woman's unrestricted right,Strongly Favors
Legally require hiring women & minorities,Strongly Favors
Comfortable with same-sex marriage,Favors
Keep God in the public sphere,Favors
Expand ObamaCare,Strongly Favors
Privatize Social Security,Strongly Opposes
Vouchers for school choice,No opinion on
EPA regulations are too restrictive,Strongly Opposes
Stricter punishment reduces crime,Opposes
Absolute right to gun ownership,Opposes
Higher taxes on the wealthy,Strongly Favors
Pathway to citizenship for illegal aliens,Strongly Favors
Support & expand free trade,Favors
Support American Exceptionalism,Opposes
Expand the military,Opposes
Make voter registration easier,Strongly Favors
Avoid foreign entanglements,Favors
Prioritize green energy,Favors
Marijuana is a gateway drug,Opposes
Stimulus better than market-led recovery,Favors
