Abortion is a woman's unrestricted right,2
Legally require hiring women & minorities,2
Comfortable with same-sex marriage,2
Keep God in the public sphere,-2
Expand ObamaCare,2
Privatize Social Security,-2
Vouchers for school choice,-2
EPA regulations are too restrictive,-2
Stricter punishment reduces crime,-2
Absolute right to gun ownership,-2
Higher taxes on the wealthy,2
Pathway to citizenship for illegal aliens,2
Support & expand free trade,-2
Support American Exceptionalism,-2
Expand the military,-2
Make voter registration easier,2
Avoid foreign entanglements,2
Prioritize green energy,2
Marijuana is a gateway drug,-2
Stimulus better than market-led recovery,2
