Abortion is a woman's unrestricted right,-1
Legally require hiring women & minorities,2
Comfortable with same-sex marriage,-1
Keep God in the public sphere,2
Expand ObamaCare,-1
Privatize Social Security,2
Vouchers for school choice,2
EPA regulations are too restrictive,1
Stricter punishment reduces crime,2
Absolute right to gun ownership,-1
Higher taxes on the wealthy,-2
Pathway to citizenship for illegal aliens,-1
Support & expand free trade,-1
Support American Exceptionalism,0
Expand the military,2
Make voter registration easier,-1
Avoid foreign entanglements,-2
Prioritize green energy,-1
Marijuana is a gateway drug,2
Stimulus better than market-led recovery,-2
